File Name: 0:\GARMIN\EVNTLOGS/0000001D.TXT


>>>>> EVL_CURR_LOGS <<<<<

verNum:     8/13/2014 (00)
ownerID:    00000002
OwnerName:  HWM
status:     01
pri_thresh:  4
archived:   00
max_arch:   00
num_recs:   80
rec_size:   40
next_evnt:  4F
timeDay:    2018/ 2/ 9 18:35:12 
cycle_cnt:  7

63: D0 11 03 00 169:23:10.381 HWM misc  Fitness Wi-Fi Status: 0x2
64: D0 11 03 00 169:23:11.459 HWM misc  Fitness Wi-Fi Status: 0x2
65: D0 11 03 00 169:23:11.660 HWM misc  Fitness Wi-Fi Status: 0x2
66: D1 00 03 00 169:28:11.765 HWM misc  Local: 2017/11/ 2 12:46:04 , UTC: 2017/11/ 2 11:46:04 
67: D0 11 03 00 169:28:13.100 HWM misc  Fitness Wi-Fi Status: 0x2
68: D0 11 03 00 169:28:14.057 HWM misc  Fitness Wi-Fi Status: 0x2
69: D0 11 03 00 169:28:15.264 HWM misc  Fitness Wi-Fi Status: 0x2
6A: D0 11 03 00 169:28:15.465 HWM misc  Fitness Wi-Fi Status: 0x2
6B: D1 00 03 00 169:33:15.570 HWM misc  Local: 2017/11/ 2 12:51:08 , UTC: 2017/11/ 2 11:51:08 
6C: D0 11 03 00 169:33:16.902 HWM misc  Fitness Wi-Fi Status: 0x2
6D: D0 11 03 00 169:33:17.849 HWM misc  Fitness Wi-Fi Status: 0x2
6E: D0 11 03 00 169:33:19.057 HWM misc  Fitness Wi-Fi Status: 0x2
6F: D0 11 03 00 169:33:19.258 HWM misc  Fitness Wi-Fi Status: 0x2
70: D1 00 03 00 169:38:19.363 HWM misc  Local: 2017/11/ 2 12:56:12 , UTC: 2017/11/ 2 11:56:12 
71: D0 11 03 00 169:38:20.692 HWM misc  Fitness Wi-Fi Status: 0x2
72: D0 11 03 00 169:38:21.639 HWM misc  Fitness Wi-Fi Status: 0x2
73: D0 11 03 00 169:38:22.846 HWM misc  Fitness Wi-Fi Status: 0x2
74: D0 11 03 00 169:38:23.047 HWM misc  Fitness Wi-Fi Status: 0x2
